"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","기타","집세","유치원납입금","고등학교납입금","전문대학납입금","국공립대학교납입금","사립대학교납입금","국공립대학원납입금","사립대학원납입금","보육시설이용료","독서실비","초등학생학원비","고등학생학원비","음악학원비","미술학원비","운동학원비","전산학원비","가정학습지","취업학원비","외국어학원비","운동강습료","혼인율","X20대취업율","X30대취업율","X40대취업율","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_silup_rate","F_silup_rate"
"2015. 04",99.34,99.81,99.73,99.61,100.07,100.96,98.96,99.4,100.79,100,100,99.96,100,99.98,100.12,101.02,100,98.42,100.48,99.46,100,100.36,100,99.3,99.52,100.06,100,1483,208,337,403,2201,1199,1229,921,647,6.3,4.2
"2015. 05",101.37,100.34,99.85,99.82,100.07,102.78,99.99,99.71,100.79,100,100,99.96,100,99.98,100.12,101.02,100,98.42,99.76,99.46,100,100.36,100,99.35,100.07,99.47,100,1678,215,334,401,2138,1200,1230,924,662,5.7,5.2
"2015. 06",100.39,100.55,100.05,99.91,100.07,104.58,99.97,100,100.79,100,100,99.96,100,99.98,100.12,101.02,100,101.13,99.76,99.46,100,100.36,100,99.35,100.07,99.94,100,1295,207,335,405,2011,1201,1231,919,665,5.2,5.4
"2015. 07",99.5,100.54,99.97,99.82,100.07,103.92,99.66,100.26,100.79,100,100,99.96,100,99.98,100.12,101.02,100,101.13,99.76,101.06,100,100.36,100,99.35,100.56,99.94,100,964,209,333,402,2194,1202,1232,918,664,4.5,5.9
"2015. 08",101.38,100.42,100.48,99.95,100.12,101.75,100.39,100.49,100.79,100,100,99.96,100,99.98,100.12,101.02,100,101.13,99.76,101.06,100,100.36,100,99.35,101.06,100.37,100,968,213,336,395,2031,1203,1234,918,648,4.9,4.2
"2015. 09",101.28,99.76,99.5,99.93,100.12,99.2,100.16,100.54,100.79,100,100,99.96,100,99.98,100.13,101.02,100,101.13,99.76,101.06,100,100.36,100,101.35,99.65,101.02,100,1282,218,334,400,2131,1205,1235,921,662,5.3,4
"2015. 10",99.33,99.68,99.46,99.92,100.12,97.9,100.01,100.75,100.79,100,100,99.96,100,99.98,100.13,101.02,100,101.13,99.76,101.06,100,100.36,100,101.35,100.84,101.02,100,1968,216,336,402,2118,1206,1236,919,662,4.8,4.4
"2015. 11",96.76,99.67,99.6,101.11,100.12,96.11,100.21,100.93,100.79,100,100,99.96,100,99.98,100.13,101.02,100,101.13,99.76,101.06,100,100.36,100,101.35,101.29,101.02,100,1792,223,341,403,1936,1207,1238,917,670,4.5,4
"2015. 12",99.82,99.52,99.66,101.01,100.39,94.49,100.68,101.09,100.79,100,100,99.96,100,99.98,100.13,101.02,100,101.13,99.76,101.06,100,100.36,100,101.35,99.47,101.02,100,1765,223,346,402,1911,1208,1239,908,654,4.2,3.5
"2016. 01",101.58,99.06,100.4,100.97,100.39,91.16,99.68,101.26,100.79,100,100,99.96,100,99.98,100.13,101.02,100,101.13,102.45,102.53,100,103.32,100,101.35,98.11,101.44,101.79,1178,220,345,408,2285,1207,1240,914,653,4.4,4.6
"2016. 02",105.76,98.82,99.54,101,100.44,88.28,101.15,101.43,100.79,100,100,99.96,100,99.98,100.13,101.02,100,101.13,102.45,102.53,100,103.32,98.44,101.35,99.36,101.44,101.79,996,213,340,403,2014,1209,1242,925,660,7,5.6
"2016. 03",102.86,98.85,99.69,101.15,100.44,87.47,101.22,101.58,98.27,100,99.99,99.67,100.03,99.81,100.66,105.04,100,102.8,102.45,104.18,102.47,104.82,98.44,101.66,100.92,101.44,101.79,1504,223,336,405,2148,1210,1243,929,660,5.9,4.7
"2016. 04",102.58,99.33,100.95,101.15,100.62,88.17,101.41,101.66,98.27,100,99.99,99.67,100.03,99.81,100.66,105.04,100,102.8,102.45,104.18,102.47,106.5,98.44,101.66,100.92,101.44,101.79,1484,228,337,408,2101,1211,1244,926,679,5.6,4.6
"2016. 05",100.54,99.55,100.87,101.67,100.62,90.07,101.41,101.86,98.27,100,99.99,99.67,100.03,99.81,100.66,105.04,100,102.8,102.45,104.18,102.47,106.5,98.44,101.66,100.92,101.44,101.79,1519,233,340,406,1974,1213,1246,935,682,5.6,3.8
"2016. 06",98.62,100.08,101,101.66,100.62,94.6,101.48,102.05,98.27,100,99.99,99.67,100.03,99.81,100.66,105.04,100,103.58,102.45,104.18,102.47,106.5,98.44,101.66,101.59,101.44,101.79,1292,226,340,408,1889,1214,1247,943,674,6.3,4.3
"2016. 07",98.97,99.92,101.53,101.64,100.48,94.81,100.95,102.18,98.27,100,99.99,99.67,100.03,99.81,100.66,105.04,100,103.58,102.45,104.18,102.47,106.5,98.44,101.66,99.28,101.44,101.79,983,235,342,406,2024,1215,1248,948,681,5.8,3.7
"2016. 08",101.07,99.82,101.7,101.64,100.48,93.25,100.84,102.24,98.27,100,99.99,99.67,100.03,99.81,100.66,105.49,100,103.58,102.45,104.18,102.47,106.5,98.44,101.66,101.74,101.44,101.79,952,226,338,408,1956,1216,1249,932,673,4.3,4.5
"2016. 09",108.73,99.87,101.83,101.66,100.48,92.62,101.2,102.37,98.27,100,100.03,99.67,100.02,99.81,100.97,105.49,99.1,103.58,102.45,104.18,102.47,106.5,98.44,101.66,102.46,101.44,101.79,1077,223,340,400,2050,1217,1250,935,663,4.9,4.5
"2016. 10",105.67,100,101.62,101.89,100.48,92.83,100.86,102.64,98.27,100,100.03,99.67,100.02,99.81,100.97,105.49,99.1,103.58,102.45,104.18,102.47,106.5,98.44,101.66,102.07,101.44,101.79,1868,228,341,395,1780,1218,1251,938,660,4.2,4.7
"2016. 11",104.58,100.04,100.29,102.46,101.02,93.83,100.98,102.8,98.27,100,100.03,99.67,100.02,99.81,100.97,105.49,99.1,103.58,102.45,104.18,102.47,106.5,98.44,101.66,99.33,101.44,101.79,1760,214,342,400,1803,1219,1252,933,660,4.2,4.4
"2016. 12",106.72,100.23,100.65,102.38,101.18,95.52,101.14,102.96,98.27,100,100.03,99.67,100.02,99.81,100.97,105.49,99.1,103.58,102.45,104.18,102.47,106.5,98.44,101.66,100.53,101.44,101.79,1479,218,340,398,1585,1220,1253,919,655,3.9,4.1
"2017. 01",110.71,100.96,101.05,102.4,101.33,99.34,100.47,103.03,98.27,100,100.03,99.67,100.02,99.8,100.97,105.5,99.1,103.58,102.45,104.18,102.47,106.51,98.44,101.66,102.03,103,101.79,1087,211,335,399,1985,1221,1254,915,660,5.4,5.3
"2017. 02",111.08,101.3,101.54,102.5,102.18,100.51,101.25,103.27,98.27,100,100.03,99.67,100.02,99.8,100.97,105.5,99.1,103.58,103.08,104.18,102.47,106.51,98.44,101.66,102.11,103,101.79,1159,219,336,400,1732,1222,1255,934,671,7,5.4
"2017. 03",108.76,101.14,101.14,102.52,102.18,100.16,101.33,103.63,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,99.1,103.58,103.08,104.18,102.47,108.39,98.44,101.66,104.87,103,101.79,1348,219,335,397,1900,1224,1256,936,666,5.7,4.2
"2017. 04",107.1,100.85,101.64,102.54,102.18,98.53,99.96,103.65,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,100.85,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.64,103,101.79,1447,220,339,396,1696,1224,1256,942,666,5.6,4.8
"2017. 05",105.76,101.09,101.85,102.95,102.18,98.24,100.89,103.89,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.64,103.64,101.79,1471,231,337,394,1696,1226,1257,951,675,5.2,4.2
"2017. 06",104.87,101.04,101.76,102.95,103.34,96.84,101.69,103.98,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.89,104.29,101.79,1099,227,334,392,1696,1226,1258,954,666,4.9,3.7
"2017. 07",104.38,100.62,101.74,102.9,102.49,94.6,100.51,104.16,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.4,104.69,101.79,729,231,335,392,1743,1227,1259,951,661,4.7,3.3
"2017. 08",109.95,100.85,101.55,102.64,102.49,96.39,101.49,104.3,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.88,104.69,101.79,739,222,334,389,1753,1228,1260,934,660,5.4,3.2
"2017. 09",112.25,101.09,101.84,102.69,102.49,98.13,101.31,104.34,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.7,104.69,101.79,1185,226,335,392,1786,1229,1261,936,674,5.5,2.7
"2017. 10",107.34,101.56,101.9,102.81,102.49,100.56,101.69,104.39,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,105.13,104.69,101.79,1705,232,334,397,1595,1230,1262,933,688,4.6,2.6
"2017. 11",103.77,101.35,101.52,103.51,102.49,101.85,100.39,104.5,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,108.39,99.76,101.66,106.96,104.69,101.79,1757,228,335,393,1553,1231,1263,928,683,4.6,2.8
"2017. 12",107.3,101.45,101.23,103.51,102.78,103.11,100.97,104.55,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,103.08,104.18,102.47,109.97,99.76,101.66,106.96,104.69,101.79,1509,230,335,392,1310,1232,1263,930,675,4.7,3.1
"2018. 01",109.87,101.42,101.21,103.53,102.78,103.65,99.78,104.66,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,104.04,105.7,105.95,111.45,99.76,101.66,108.07,105.27,101.79,1139,230,341,393,1900,1232,1264,931,678,4.5,4.2
"2018. 02",115.45,101.8,100.98,103.83,102.78,104.56,101.13,104.98,99.58,100,100.01,98.99,99.95,99.35,101.58,108.03,101.77,103.58,104.04,105.7,105.95,111.45,99.76,101.94,108.32,105.13,101.79,854,232,340,392,1700,1232,1264,932,697,4.7,5.6
"2018. 03",111.04,101.9,101.72,103.6,102.36,103.65,101.03,105.03,101.2,100,100.21,97.96,99.48,99.35,102.53,94.64,101.77,103.58,104.04,105.7,105.95,111.45,99.76,101.94,109.69,105.13,101.79,1333,234,344,387,1800,1232,1265,945,706,4.8,5.3
"2018. 04",110.86,101.97,101.95,103.61,102.42,102.71,101.51,105.15,101.2,100,100.21,97.96,99.48,99.35,102.53,94.64,100.17,103.58,104.04,107.24,105.95,112.95,99.76,101.94,109.23,105.13,101.79,1242,225,339,392,1700,1233,1266,942,701,4.5,5.4
"2018. 05",109.51,102.45,102.43,103.6,102.42,105.25,101.82,105.28,101.2,100,100.21,97.96,99.48,99.35,102.53,84.68,100.17,103.58,104.04,107.24,105.95,114.46,99.76,101.94,109.78,105.5,101.79,1338,236,341,397,1700,1233,1266,959,704,4.7,4.3
"2018. 06",107.81,102.82,101.85,103.6,102.69,107.96,101.8,105.27,101.2,100,100.21,97.96,99.48,99.35,102.53,84.68,100.17,103.58,104.04,107.24,105.95,114.46,99.76,101.94,109.78,105.5,101.79,1162,239,338,396,1600,1234,1266,954,707,4,3.9
"2018. 07",108.06,102.33,100.99,103.54,104.34,107.65,101.53,105.27,101.2,100,100.21,97.96,99.48,99.35,102.53,84.68,100.17,103.58,104.04,107.24,105.95,114.46,99.76,102.23,107.23,105.69,101.79,833,240,337,397,1600,1235,1268,944,712,4.1,3.7
"2018. 08",117.76,102.44,100.81,103.54,104.34,108.12,101.6,105.26,101.2,100,100.21,97.96,99.48,99.35,102.53,80.66,100.17,103.58,104.04,107.24,105.95,114.46,99.76,102.23,107.23,105.69,101.79,870,237,330,388,1700,1236,1269,939,701,4.6,3.8
"2018. 09",123.88,102.51,100.93,103.6,104.34,108.98,101.55,105.47,101.2,100,100.21,97.96,99.48,99.35,102.53,80.66,100.17,103.58,104.04,107.24,105.95,114.46,99.76,102.23,108.55,105.69,101.79,1100,240,328,387,1600,1238,1270,941,699,4.2,3.2
"2018. 10",118.47,103.08,101.1,103.67,104.4,112.68,101.64,105.51,101.2,100,100.21,97.96,99.48,99.35,102.53,80.66,101.03,103.58,104.04,107.24,105.95,114.46,99.76,102.23,109.73,105.69,101.79,1787,244,332,386,1700,1239,1271,940,703,3.6,4.1
"2018. 11",113.85,102.55,100.66,103.99,104.75,108.09,101.79,105.53,101.2,100,100.21,97.96,99.48,99.35,102.53,80.66,101.03,103.58,104.04,107.24,105.95,114.46,99.76,102.23,108.32,105.69,101.79,1669,238,332,393,1600,1240,1272,941,711,3.8,3.6
"2018. 12",114.71,101.51,100.63,103.99,104.83,98.55,101.85,105.57,101.2,100,100.21,97.96,99.48,99.35,102.53,80.66,101.03,103.58,104.04,107.24,105.95,114.46,99.76,102.23,108.66,105.69,101.79,1523,247,330,392,1500,1241,1273,944,705,3.9,3.6
